,FILM,RottenTomatoes,Metacritic,IMDB,Fandango_Stars
0,Avengers: Age of Ultron (2015),74,66,7.8,5.0
1,Cinderella (2015),85,67,7.1,5.0
2,Ant-Man (2015),80,64,7.8,5.0
3,Do You Believe? (2015),18,22,5.4,5.0
4,Hot Tub Time Machine 2 (2015),14,29,5.1,3.5
5,The Water Diviner (2015),63,50,7.2,4.5
6,Irrational Man (2015),42,53,6.9,4.0
7,Top Five (2014),86,81,6.5,4.0
8,Shaun the Sheep Movie (2015),99,81,7.4,4.5
9,Love & Mercy (2015),89,80,7.8,4.5
10,Far From The Madding Crowd (2015),84,71,7.2,4.5
11,Black Sea (2015),82,62,6.4,4.0
12,Leviathan (2014),99,92,7.7,4.0
13,Unbroken (2014),51,59,7.2,4.5
14,The Imitation Game (2014),90,73,8.1,5.0
15,Taken 3 (2015),9,26,6.1,4.5
16,Ted 2 (2015),46,48,6.6,4.5
17,Southpaw (2015),59,57,7.8,5.0
18,Night at the Museum: Secret of the Tomb (2014),50,47,6.3,4.5
19,Pixels (2015),17,27,5.6,4.5
20,"McFarland, USA (2015)",79,60,7.5,5.0
21,Insidious: Chapter 3 (2015),59,52,6.3,4.5
22,The Man From U.N.C.L.E. (2015),68,55,7.6,4.5
23,Run All Night (2015),60,59,6.6,4.5
24,Trainwreck (2015),85,75,6.7,4.5
25,Selma (2014),99,89,7.5,5.0
26,Ex Machina (2015),92,78,7.7,4.5
27,Still Alice (2015),88,72,7.5,4.5
28,Wild Tales (2014),96,77,8.2,4.5
29,The End of the Tour (2015),92,84,7.9,4.5
30,Red Army (2015),96,82,7.7,4.5
31,When Marnie Was There (2015),89,71,7.8,4.5
32,The Hunting Ground (2015),92,77,7.5,4.5
33,The Boy Next Door (2015),10,30,4.6,4.0
34,Aloha (2015),19,40,5.5,3.5
35,The Loft (2015),11,24,6.3,4.0
36,5 Flights Up (2015),52,55,6.1,4.0
37,Welcome to Me (2015),71,67,5.9,4.0
38,Saint Laurent (2015),51,52,6.3,3.5
39,Maps to the Stars (2015),60,67,6.3,3.5
40,I'll See You In My Dreams (2015),94,75,6.9,4.0
41,Timbuktu (2015),99,91,7.2,4.0
42,About Elly (2015),97,87,8.2,4.0
43,The Diary of a Teenage Girl (2015),95,87,7.0,4.0
44,Kingsman: The Secret Service (2015),75,58,7.8,4.5
45,Tomorrowland (2015),50,60,6.6,4.0
46,The Divergent Series: Insurgent (2015),30,42,6.4,4.5
47,Annie (2014),27,33,5.2,4.5
48,Fantastic Four (2015),9,27,4.0,3.0
49,Terminator Genisys (2015),26,38,6.9,4.5
50,Pitch Perfect 2 (2015),67,63,6.7,4.5
51,Entourage (2015),32,38,7.1,4.5
52,The Age of Adaline (2015),54,51,7.3,4.5
53,Hot Pursuit (2015),8,31,4.9,4.0
54,The DUFF (2015),71,56,6.6,4.5
55,Black or White (2015),39,45,6.6,4.5
56,Project Almanac (2015),34,47,6.4,4.0
57,Ricki and the Flash (2015),64,54,6.2,4.0
58,Seventh Son (2015),12,30,5.5,3.5
59,Mortdecai (2015),12,27,5.5,3.5
60,Unfinished Business (2015),11,32,5.4,3.5
61,American Ultra (2015),46,50,6.5,4.0
62,True Story (2015),45,50,6.3,3.5
63,Child 44 (2015),26,41,6.4,4.0
64,Dark Places (2015),26,39,6.3,4.0
65,Birdman (2014),92,88,7.9,4.0
66,The Gift (2015),93,77,7.6,4.0
67,Unfriended (2015),60,59,5.9,3.0
68,Monkey Kingdom (2015),94,72,7.3,4.5
69,Mr. Turner (2014),98,94,6.9,3.5
70,Seymour: An Introduction (2015),100,83,7.7,4.5
71,The Wrecking Crew (2015),93,67,7.8,4.5
72,American Sniper (2015),72,72,7.4,5.0
73,Furious 7 (2015),81,67,7.4,5.0
74,The Hobbit: The Battle of the Five Armies (2014),61,59,7.5,4.5
75,San Andreas (2015),50,43,6.5,4.5
76,Straight Outta Compton (2015),90,72,8.4,5.0
77,Vacation (2015),27,34,6.3,4.0
78,Chappie (2015),30,41,7.0,4.0
79,Poltergeist (2015),31,47,5.0,3.0
80,Paper Towns (2015),55,56,6.9,4.0
81,Big Eyes (2014),72,62,7.0,4.0
82,Blackhat (2015),34,51,5.4,3.0
83,Self/less (2015),20,34,6.6,4.0
84,Sinister 2 (2015),13,31,5.5,3.5
85,Little Boy (2015),20,30,7.4,4.5
86,Me and Earl and The Dying Girl (2015),81,74,8.2,4.5
87,Maggie (2015),54,52,5.6,3.5
88,Mad Max: Fury Road (2015),97,89,8.3,4.5
89,Spy (2015),93,75,7.3,4.5
90,The SpongeBob Movie: Sponge Out of Water (2015),78,62,6.1,3.5
91,Paddington (2015),98,77,7.2,4.5
92,Dope (2015),87,72,7.5,4.5
93,What We Do in the Shadows (2015),96,75,7.6,4.5
94,The Overnight (2015),82,65,6.9,3.5
95,The Salt of the Earth (2015),96,83,8.4,4.5
96,Song of the Sea (2014),99,86,8.2,4.5
97,Fifty Shades of Grey (2015),25,46,4.2,4.0
98,Get Hard (2015),29,34,6.1,4.0
99,Focus (2015),57,56,6.6,4.0
100,Jupiter Ascending (2015),26,40,5.5,3.5
101,The Gallows (2015),16,30,4.4,3.0
102,The Second Best Exotic Marigold Hotel (2015),62,51,6.6,4.0
103,Strange Magic (2015),17,25,5.7,3.5
104,The Gunman (2015),17,39,5.8,3.5
