"","Date","Berri1","Boyer","Brébeuf","CSC (Côte Sainte-Catherine)","Maisonneuve_2","Maisonneuve_3","Notre-Dame","Parc","PierDup","Rachel / Hôtel de Ville","Rachel / Papineau","René-Lévesque","Saint-Antoine","Saint-Urbain","Totem_Laurier","University","Viger"
"1","01/01/2015",58,12,4,17,49,21,16,16,7,58,91,24,3,17,78,21,6
"2","02/01/2015",75,7,5,15,113,27,9,32,11,109,177,32,13,11,57,77,4
"3","03/01/2015",79,7,3,7,107,36,12,18,2,71,131,33,5,14,174,40,5
"4","04/01/2015",10,1,21,0,35,29,1,0,0,6,11,6,1,1,20,6,0
"5","05/01/2015",42,0,2,0,90,21,1,1,6,0,5,49,20,0,41,56,10
"6","06/01/2015",101,0,1,1,153,38,3,22,1,1,12,64,23,29,121,91,5
"7","07/01/2015",121,15,5,3,144,35,1,43,0,11,24,40,3,5,120,63,4
"8","08/01/2015",70,0,36,0,139,36,4,55,0,38,67,21,7,1,83,78,2
"9","09/01/2015",88,3,5,0,135,26,12,46,1,26,63,14,10,1,166,79,1
"10","10/01/2015",29,7,6,0,70,17,3,20,0,15,29,0,7,0,32,41,1
"11","11/01/2015",66,4,2,4,89,27,3,15,0,20,27,11,5,0,38,32,2
"12","12/01/2015",183,4,4,16,323,62,7,62,0,17,99,63,22,0,84,157,15
"13","13/01/2015",183,2,9,17,250,41,9,77,7,10,115,15,26,0,72,137,20
"14","14/01/2015",183,2,6,33,276,48,16,81,3,7,166,19,39,0,98,153,11
"15","15/01/2015",183,1,7,32,297,52,17,59,0,9,198,28,25,0,62,189,8
"16","16/01/2015",177,5,2,7,280,50,14,62,4,15,199,28,23,0,92,133,8
"17","17/01/2015",48,2,0,0,75,22,3,10,0,1,83,5,9,0,36,24,0
"18","18/01/2015",84,1,4,2,108,34,6,17,1,2,127,22,16,0,30,46,5
"19","19/01/2015",256,1,1,14,321,65,6,55,0,15,245,86,37,0,167,178,11
"20","20/01/2015",262,3,6,20,302,47,21,58,3,76,243,70,32,0,201,164,23
"21","21/01/2015",242,2,4,36,328,41,13,70,4,117,280,64,32,2,221,188,32
"22","22/01/2015",278,17,5,52,382,52,35,63,3,137,313,103,49,1,221,245,43
"23","23/01/2015",307,8,7,45,355,50,22,62,2,135,332,123,56,0,179,206,26
"24","24/01/2015",163,1,5,14,170,33,6,14,5,124,200,40,15,0,136,82,13
"25","25/01/2015",81,0,1,6,95,17,7,11,0,65,157,34,8,0,133,50,16
"26","26/01/2015",234,3,6,36,340,32,24,50,2,116,310,108,47,2,258,194,44
"27","27/01/2015",276,1,2,51,320,57,20,64,1,135,276,99,46,3,263,205,43
"28","28/01/2015",335,0,12,51,384,60,16,45,0,118,338,106,49,10,244,210,36
"29","29/01/2015",327,10,38,65,437,66,19,48,3,156,386,139,48,11,245,231,34
"30","30/01/2015",181,1,3,9,294,57,15,47,1,99,233,98,23,7,155,145,11
"31","31/01/2015",65,3,0,2,95,20,8,5,1,57,115,16,8,3,141,38,3
"32","01/02/2015",54,2,2,6,67,18,13,13,1,49,127,17,5,6,124,27,3
"33","02/02/2015",127,0,53,10,182,48,12,43,0,57,144,39,4,6,529,94,12
"34","03/02/2015",203,0,45,26,273,63,10,46,0,65,190,33,16,6,550,145,10
"35","04/02/2015",263,1,18,12,288,57,14,60,1,88,231,33,9,23,308,144,10
"36","05/02/2015",236,0,85,4,280,44,12,32,3,140,293,62,33,19,246,162,13
"37","06/02/2015",193,1,36,8,261,57,24,36,0,82,251,67,17,15,358,157,15
"38","07/02/2015",79,3,1,1,106,18,2,14,0,43,104,26,10,8,118,54,4
"39","08/02/2015",36,3,0,0,57,11,2,5,0,19,51,9,0,2,299,24,1
"40","09/02/2015",120,3,13,0,205,52,0,40,0,52,174,54,4,2,273,134,5
"41","10/02/2015",260,2,8,0,333,58,0,42,0,117,234,95,42,0,454,183,47
"42","11/02/2015",300,0,7,0,350,73,0,64,3,134,248,105,28,0,343,194,24
"43","12/02/2015",226,15,16,1,289,48,0,48,0,112,210,86,18,8,275,158,14
"44","13/02/2015",163,3,37,3,218,36,13,42,0,47,159,79,12,68,213,129,8
"45","14/02/2015",53,0,13,1,79,12,5,5,0,20,92,16,2,24,78,28,4
"46","15/02/2015",68,0,5,0,103,19,2,6,2,41,505,19,3,11,48,29,7
"47","16/02/2015",193,0,11,11,231,47,13,45,0,62,211,82,32,39,132,119,24
"48","17/02/2015",250,0,43,29,270,63,14,55,0,92,251,91,34,76,133,175,28
"49","18/02/2015",261,0,19,30,322,71,18,45,3,126,255,105,24,85,214,211,31
"50","19/02/2015",224,0,12,8,236,57,11,38,1,59,215,86,0,12,225,146,14
"51","20/02/2015",137,0,10,0,181,34,6,30,0,17,91,30,3,2,124,96,15
"52","21/02/2015",59,0,10,0,89,17,2,2,3,23,55,4,4,16,91,46,6
"53","22/02/2015",94,0,0,0,84,8,0,0,0,23,63,22,3,10,126,25,3
"54","23/02/2015",170,0,0,0,238,42,0,0,0,57,221,51,29,0,107,130,4
"55","24/02/2015",241,0,7,0,247,56,3,0,0,62,255,75,40,2,190,192,8
"56","25/02/2015",252,0,20,1,301,62,2,0,0,84,61,104,40,3,196,196,30
"57","26/02/2015",250,0,4,12,261,62,4,0,0,78,25,90,39,5,223,168,24
"58","27/02/2015",248,0,5,1,249,65,14,0,0,86,149,99,43,4,242,140,24
"59","28/02/2015",119,0,2,0,119,44,3,0,0,69,144,19,10,6,150,56,6
"60","01/03/2015",96,0,0,1,110,22,7,0,0,56,144,27,8,6,151,53,9
"61","02/03/2015",222,0,4,16,318,51,9,1,0,102,228,111,41,18,180,157,24
"62","03/03/2015",274,0,6,29,350,61,12,0,0,106,244,111,47,18,190,187,27
"63","04/03/2015",247,0,31,0,317,57,7,1,0,139,285,102,21,5,137,143,24
"64","05/03/2015",281,0,63,0,343,68,14,29,0,120,328,117,52,37,217,192,35
"65","06/03/2015",192,0,6,2,283,74,7,11,0,107,277,95,39,56,308,148,48
"66","07/03/2015",98,0,6,7,140,29,5,8,0,101,184,33,14,58,329,52,10
"67","08/03/2015",83,0,1,3,139,26,5,4,0,71,157,21,8,64,161,47,5
"68","09/03/2015",350,0,12,6,475,74,12,18,0,220,442,143,62,175,299,281,57
